Ratio of Ranges of Center of mass
H0, H1, H2, H3, H4, H5, H6
2.157081, 1.408177, 3.275372, 3.562621, 2.204124, 2.157081, 3.275372
2.701570, 1.195179, 1.871496, 1.875913, 3.906634, 2.701570, 1.871496
1.827729, 1.101608, 2.785630, 2.674932, 2.272081, 1.827729, 2.627799
1.596642, 1.081321, 1.128900, 2.210255, 1.596642, 1.596642, 1.128900
2.817673, 1.189759, 5.259172, 5.592073, 1.602119, 2.817673, 5.250595
2.068601, 1.295543, 3.738706, 3.766855, 1.501388, 2.068601, 3.738706
1.881134, 1.000000, 1.639648, 1.663156, 1.943136, 1.881134, 1.639648
2.078811, 1.044571, 1.800807, 2.328106, 3.057874, 2.078811, 2.915453
2.910956, 1.464654, 3.492175, 3.449699, 2.476802, 2.910956, 3.587240
1.864770, 1.158759, 5.288183, 5.327952, 1.750518, 1.864770, 5.288183
