Ratio of Distance moved by Center of mass
H0, H1, H2, H3, H4, H5, H6
1.205973, 1.531808, 2.006329, 1.933001, 1.290223, 1.205973, 2.006329
1.415891, 1.628987, 1.933530, 1.907747, 1.751493, 1.415891, 1.933530
1.229494, 1.573964, 2.282077, 2.239448, 1.568123, 1.229494, 2.176441
1.035312, 1.137605, 1.189814, 1.383132, 1.035312, 1.035312, 1.189814
1.003637, 1.141453, 1.745185, 1.676244, 1.129275, 1.003637, 1.796472
1.123681, 1.455110, 2.218760, 2.243475, 1.267316, 1.123681, 2.218760
1.171077, 1.626371, 1.933546, 1.971483, 1.454509, 1.171077, 1.933546
1.178262, 1.230250, 1.513180, 1.338454, 1.480444, 1.178262, 1.530317
1.139051, 1.269549, 1.570288, 1.560707, 1.075797, 1.139051, 1.687120
1.037503, 1.081898, 1.802913, 1.766154, 1.136602, 1.037503, 1.802913
