Ratio of Distance Moved by Center of Mass: Single Pick vs Simultaneous Picks (w.r to Best Heuristic)
H2 Single, H2-2 picks, H3 Single, H3-2 picks,H4 Single,H4-2 picks, H6 Single, H6- picks
2.484533, 1.075693, 2.565998, 1.125586, 1.092520, 27.834028, 2.541028, 1.000000
2.927578, 1.010351, 2.915227, 1.000000, 1.675319, 27.034213, 2.871274, 1.002273
2.091676, 1.000103, 2.119684, 1.006618, 1.130847, 28.153181, 2.198701, 1.000000
1.582535, 1.062889, 1.587306, 1.000000, 1.002512, 14.219548, 1.601240, 1.068737
2.502207, 1.096857, 2.598466, 1.000000, 1.130678, 17.323016, 2.431076, 1.081194
2.305207, 1.007945, 2.274622, 1.076848, 1.222027, 5.354380, 2.323116, 1.000000
2.334518, 1.101949, 2.141602, 1.000000, 1.091087, 17.966901, 2.353896, 1.136866
2.554738, 1.002932, 2.425410, 1.046072, 1.150718, 10.710401, 2.576739, 1.000000
1.611668, 1.000000, 1.602836, 1.034035, 1.072270, 12.836858, 1.776716, 1.040580
2.430288, 1.104879, 2.420408, 1.000000, 1.236422, 9.058231, 2.425168, 1.104686
