Ratio of Ranges of Center of Mass: Single Pick vs Simultaneous Picks
H2 Single, H2-2 picks, H3 Single, H3-2 picks,H4 Single,H4-2 picks, H6 Single, H6-2 picks
3.275372, 1.516364, 3.562621, 1.298988, 2.204124, 4.142684, 3.275372, 1.516364
1.871496, 1.251834, 1.875913, 1.155502, 3.906634, 10.415400, 1.871496, 1.251834
2.785630, 1.582379, 2.674932, 1.012213, 2.272081, 10.455048, 2.627799, 1.675341
1.128900, 1.159388, 2.210255, 1.034951, 1.596642, 1.815204, 1.128900, 1.159388
5.259172, 1.207214, 5.592073, 1.667101, 1.602119, 2.777581, 5.250595, 1.787394
3.738706, 1.100555, 3.766855, 1.221332, 1.501388, 26.676724, 3.738706, 1.100555
1.639648, 1.108635, 1.663156, 1.000000, 1.943136, 25.147110, 1.639648, 1.108635
1.800807, 1.394484, 2.328106, 1.339685, 3.057874, 8.537461, 2.915453, 1.394484
3.492175, 1.350002, 3.449699, 1.000000, 2.476802, 20.124324, 3.587240, 1.353409
5.288183, 1.225017, 5.327952, 1.032391, 1.750518, 4.175056, 5.288183, 1.225017
