Ratio of Distance Moved by Center of Mass: Single Pick vs Simultaneous Picks
H2 Single, H2-2 picks, H3 Single, H3-2 picks,H4 Single,H4-2 picks, H6 Single, H6- picks
2.006329, 1.008796, 1.933001, 1.067939, 1.290223, 2.571903, 2.006329, 1.008796
1.933530, 1.250859, 1.907747, 1.423616, 1.751493, 9.226537, 1.933530, 1.250859
2.282077, 1.282144, 2.239448, 1.339997, 1.568123, 8.678910, 2.176441, 1.318776
1.189814, 2.004890, 1.383132, 2.067068, 1.035312, 3.003323, 1.189814, 2.004890
1.745185, 1.494557, 1.676244, 1.553435, 1.129275, 2.834268, 1.796472, 1.410242
2.218760, 1.000000, 2.243475, 1.111370, 1.267316, 23.302482, 2.218760, 1.000000
1.933546, 1.208996, 1.971483, 1.319714, 1.454509, 17.881414, 1.933546, 1.208996
1.513180, 1.059468, 1.338454, 1.114951, 1.480444, 5.630229, 1.530317, 1.059468
1.570288, 1.475385, 1.560707, 1.500741, 1.075797, 15.629477, 1.687120, 1.256442
1.802913, 1.182636, 1.766154, 1.237153, 1.136602, 4.705544, 1.802913, 1.182636
